hub_family,spoke_airport,operator_class,flights_total,meets_min_flights,hotspot_robustness_score,hotspot_score_base,hotspot_score_weather_emphasis,hotspot_score_controllable_cascade_emphasis,hotspot_score_economic_emphasis,norm_cancel,norm_severe_delay,norm_controllable,norm_cascade,norm_weather_sensitivity,norm_economic_burden
ORD,CHA,Republic_unresolved,592,True,0.0,0.36276724299065416,0.24509345794392523,0.3888317757009346,0.35257009345794393,0.46448598130841123,0.44953271028037384,0.26635514018691586,0.5897196261682243,0.06869158878504673,0.33738317757009345
ORD,CHA,SkyWest_unresolved,2817,True,0.0,0.6049496261682242,0.6313084112149534,0.607570093457944,0.604766355140187,0.502803738317757,0.6271028037383177,0.8429906542056075,0.38037383177570094,0.6710280373831776,0.6046728971962617
ORD,CHO,SkyWest_unresolved,3182,True,0.0,0.6370432710280375,0.57803738317757,0.6427102803738318,0.6599065420560748,0.5934579439252337,0.7411214953271028,0.8981308411214953,0.4046728971962617,0.4897196261682243,0.694392523364486
ORD,CHS,AA_mainline,122,True,0.0,0.44853205607476637,0.292803738317757,0.5879439252336448,0.47579439252336453,0.02102803738317757,0.49906542056074765,0.7897196261682243,0.8046728971962617,0.05934579439252336,0.516822429906542
ORD,CHS,Envoy_operated,1797,True,0.0,0.28860911214953267,0.39425233644859814,0.2624766355140187,0.2344392523364486,0.3579439252336449,0.2205607476635514,0.1308411214953271,0.31588785046728973,0.552803738317757,0.15327102803738318
ORD,CHS,Republic_unresolved,1843,True,0.0,0.17892985981308412,0.16621495327102803,0.1529439252336449,0.1533177570093458,0.5383177570093458,0.044859813084112146,0.05327102803738318,0.17476635514018693,0.14719626168224298,0.11495327102803739
ORD,CHS,SkyWest_unresolved,219,True,0.0,0.27957303738317757,0.18266355140186916,0.3889252336448598,0.1964953271028037,0.06448598130841121,0.397196261682243,0.8373831775700935,0.26869158878504673,0.037383177570093455,0.07196261682242991
ORD,CID,AA_mainline,127,True,0.5,0.885223738317757,0.7441121495327103,0.9205607476635513,0.9306542056074767,0.8364485981308412,0.994392523364486,0.9542056074766355,0.9934579439252337,0.5327102803738317,0.9990654205607477
ORD,CID,Envoy_operated,3412,True,0.0,0.46426728971962616,0.6261682242990654,0.39999999999999997,0.40785046728971963,0.594392523364486,0.39065420560747666,0.20654205607476636,0.4009345794392523,0.8691588785046729,0.3233644859813084
ORD,CID,Republic_unresolved,870,True,0.0,0.685651121495327,0.7855140186915888,0.6034579439252337,0.7111214953271028,0.9588785046728971,0.508411214953271,0.3355140186915888,0.625233644859813,0.9355140186915888,0.7495327102803738
ORD,CID,SkyWest_unresolved,2824,True,0.0,0.7518637383177569,0.8360747663551402,0.7300934579439253,0.7500934579439252,0.6177570093457944,0.7869158878504673,0.8626168224299066,0.5327102803738317,0.9626168224299065,0.7476635514018691
ORD,CIU,SkyWest_unresolved,274,True,0.0,0.5019695327102803,0.5583177570093458,0.5276635514018692,0.47345794392523366,0.197196261682243,0.6074766355140186,0.719626168224299,0.4130841121495327,0.6429906542056075,0.4308411214953271
ORD,CLE,AA_mainline,1460,True,0.0,0.7678326635514019,0.535373831775701,0.809392523364486,0.8430373831775702,0.8822429906542056,0.8369158878504673,0.9168224299065421,0.8271028037383178,0.18691588785046728,0.9560747663551402
ORD,CLE,Envoy_operated,2598,True,0.0,0.41877532710280374,0.39439252336448605,0.4007476635514019,0.4033644859813085,0.685981308411215,0.3401869158878505,0.19065420560747665,0.5570093457943925,0.3579439252336449,0.38037383177570094
ORD,CLE,Republic_unresolved,1312,True,0.0,0.31735317757009346,0.2666355140186916,0.29224299065420567,0.3073831775700935,0.7560747663551401,0.15514018691588785,0.17850467289719626,0.33084112149532713,0.19065420560747665,0.2925233644859813
ORD,CLE,SkyWest_unresolved,1738,True,0.0,0.804054859813084,0.8442056074766355,0.719158878504673,0.8385981308411216,0.905607476635514,0.9383177570093458,0.9700934579439252,0.21401869158878506,0.9046728971962616,0.8906542056074767
ORD,CLT,AA_mainline,6124,True,0.0,0.46177457943925226,0.39514018691588787,0.5147663551401869,0.4889719626168224,0.24299065420560748,0.5130841121495328,0.5485981308411215,0.6401869158878505,0.2953271028037383,0.5299065420560748
